kernel_shape,kernel_size_reference_px,reference_resolution,applied_sizes,exact_scaled_sizes,group_type,group,instances,erased,erased_frac,note
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,all,all,23883,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,resolution,1920x1080,18730,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,resolution,3840x2160,5153,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,gopro_fisheye,9311,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,industrial,5879,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,lake,1154,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,meadow,4812,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,seaside,2727,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,split,train,18624,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,split,val,5259,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
