kernel_shape,kernel_size,group_type,group,instances,erased,erased_frac,note
rect,3,all,all,23883,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,resolution,1920x1080,18730,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,scene,gopro_fisheye,9311,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,scene,industrial,5879,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,scene,lake,1154,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,scene,meadow,4812,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,split,train,18624,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,3,split,val,5259,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,all,all,23883,501,0.020977,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,resolution,1920x1080,18730,501,0.026749,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,scene,gopro_fisheye,9311,501,0.053807,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,scene,industrial,5879,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,scene,lake,1154,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,scene,meadow,4812,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,split,train,18624,487,0.026149,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,5,split,val,5259,14,0.002662,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,all,all,23883,3003,0.125738,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,resolution,1920x1080,18730,3003,0.160331,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,scene,gopro_fisheye,9311,2995,0.321663,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,scene,industrial,5879,1,0.00017,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,scene,lake,1154,6,0.005199,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,scene,meadow,4812,1,0.000208,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,split,train,18624,2823,0.151579,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,7,split,val,5259,180,0.034227,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,all,all,23883,5012,0.209856,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,resolution,1920x1080,18730,5012,0.267592,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,scene,gopro_fisheye,9311,4606,0.494684,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,scene,industrial,5879,100,0.01701,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
